cid,text,time,author,channel,votes,photo,heart
Ugz8Pacb8e6xTENyk1J4AaABAg,Saya dari Malaysia udah cuba minum kopi kapal api sedap juga yang buatan Indonesia saya suka 🇲🇾🇮🇩,1 jam yang lalu,@user-lh1co2rd3q
Ugx597gcp7EW0lvuROh4AaABAg,"diantara chanel"" riview hp cuma nih chanel yg recommended banget buat cari info pas mau beli hp.
teasuk hp realme 8 pro yg saya pke sekarang 😁👌",1 jam yang lalu,@kangfotokopi4529
Ugy_GQ4yQcoriwWi5VJ4AaABAg,TIM YANG SELALU NONTON TAPI BELI NUNGGU DULU,3 jam yang lalu,@KadekND
Ugxa1Va-W9zZG-L_Qmh4AaABAg,"Timestamp :
0:00 Opening
0:24 Disclaimer
1:14 Iklan Kopi Kapal api
2:02 0-1.5 juta
3:33 1.5 juta-2 juta
4:29 2-3 Juta
5:45 3-4 juta
6:30 4-5 juta
7:19 5-6 juta
9:28 8-10 juta
10:34 10 jutaan
11:49 15 juta++
12:29 closing
Akhirnya ada video rekomendasi HP untuk akhir tahun 2023, terimakasih banyak bang david dan tim gadget ini ❤👌😊",2 jam yang lalu,@mochammadariqatillah2000an
Ugzj4sxHBpfoO0zwJNF4AaABAg,"Taun 2019 beli Redmi Note 8 Pro, masih hidup sampe sekarang. 2023 Juni beli iQoo 11 buat HP kedua. Semuanya rekomendasi dari Gadgetin. Makasih bang David & Team ❤❤ Pokoknya mau beli hp lagi pasti mampirnya ke sini dulu 😂😂",24 menit yang lalu,@rafliduatinova
Ugz8CydgBJcHm8jDsxR4AaABAg,"Baiklah waktunya kembali saya istirahat dulu dari bekerja sebagai timestamper gadgetin, bukan berarti saya pensiun ya. Saya memang butuh istirahat sejenak. Terimakasih bang david dan tim gadgetin untuk video rekomendasi HP di akhir tahun 2023, sampai jumpa di tahun 2024. Semoga saya bisa kembali buat timestamp 🙏👍❤😊",3 jam yang lalu,@mochammadariqatillah2000an
Ugy_mytJVs0heoGdiGJ4AaABAg,"nunggu² midrange oppo yg masuk nominasi malah gk ada😂..
launcher n fiturnya enak, banyak custom dan color OS nya gk bikin bosen😁",21 menit yang lalu,@abdullahyusuf8126
UgwCsljF0Eag2UPEhv14AaABAg,"Akhirnya setelah sekian lama menunggu , dibuatin juga!
Walaupun gak akan beli sih , suka aja lihat hp pilihan Bang David di GadgetIn😅",3 jam yang lalu,@ridwantricks
UgzD60HVxCLSrjcpFKx4AaABAg,Video yang ditunggu2 dan jawaban tdk mengecewakan. Yg gaptek maupun ngga gaptek tetep wajib nonton video ko David utk pedoman umum beli HP👍👍👍👍,2 jam yang lalu,@sassymonica
UgyCv0vIFSAw_PROC994AaABAg,Selalu nungguin review2 dri bang david... GadgetIn sukses teruss lah❤❤,2 jam yang lalu,@Oke_Ozan
